time,ENGINE_RPM,SPEED,THROTTLE_POS,Max_Torque(Nm),Cmd_Torque(Nm),Gear,IntkGasMassFlw,NrmlzdAirChrg,Afr,FuelMassFlw,ExhManGasTemp,EngTrq,Bsfc,PwrTrnsfrd,PwrFuel
37,1489,28,23,68.015,15.643,3,0.00449238,0.214728745,14.6,0.000307697,808.7304188,15.68484198,461.685198,2445.701576,11692.49603
38,1005,0,24,36.363,8.727,0,0.001765713,0.125043902,14.6,0.000120939,703.3940771,2.634488751,278.7278916,277.2624319,4595.692117
39,1010,2,25,36.725,9.181,1,0.001864734,0.131402587,14.6,0.000127722,702.7173509,3.523150493,292.8084686,372.6328914,4853.41733
40,2504,32,35,112.15,39.252,2,0.012655221,0.359702798,14.6,0.000866796,1000.454299,39.28182033,306.2394596,10300.41084,32938.24745
41,1002,8,26,36.145,9.398,1,0.001897075,0.134748893,14.6,0.000129937,703.8001128,3.961955677,300.416341,415.7248184,4937.59283
42,1010,0,26,36.725,9.548,0,0.001939275,0.136655255,14.6,0.000132827,702.7173509,4.247479705,304.5131531,449.2429849,5047.427151
43,1902,37,29,89.608,25.986,3,0.007437752,0.278316889,14.6,0.000509435,954.8502532,26.04575245,358.2964864,5187.714165,19358.53201
44,1140,21,32,45.88,14.682,3,0.003326848,0.20770003,14.6,0.000227866,718.8076905,14.38497405,461.3290382,1717.285695,8658.920603
45,996,0,25,35.709,8.927,0,0.00179364,0.128169423,14.6,0.000122852,704.6121843,3.041827588,285.8498732,317.2652824,4668.37908
46,1397,17,30,62.526,18.758,2,0.004602441,0.234477004,14.6,0.000315236,817.4585962,18.80013296,431.6660919,2750.337211,11978.95713
47,1538,17,29,70.838,20.543,2,0.005284902,0.244562017,14.6,0.00036198,861.8161898,20.59637999,413.3104875,3317.232023,13755.22477
48,1708,47,34,80.086,27.229,4,0.006830786,0.28463689,14.6,0.000467862,939.4183872,27.32846716,351.1479909,4888.006303,17778.75725
49,1284,21,25,55.445,13.861,3,0.00352616,0.195454387,14.6,0.000241518,755.4414513,12.72904752,433.8401098,1711.549838,9177.677516
50,996,0,26,35.709,9.284,0,0.00186537,0.133295051,14.6,0.000127765,704.6121843,3.74523173,297.2813065,390.6309506,4855.072407
51,2069,31,30,96.924,29.077,2,0.008652874,0.29765163,14.6,0.000592663,972.1784981,29.13175246,343.6000917,6311.836196,22521.17801
52,1029,20,26,38.094,9.904,3,0.002040948,0.14116433,14.6,0.000139791,700.1457913,4.927392176,314.1472447,530.9591658,5312.056584
53,1005,0,25,36.363,9.091,0,0.001839361,0.130259437,14.6,0.000125984,703.3940771,3.3524642,290.3535307,352.8245762,4787.376766
54,997,9,28,35.782,10.019,1,0.002014612,0.143815152,14.6,0.000137987,704.476839,5.19224899,320.725045,542.0998497,5243.510609
55,1461,17,26,66.371,17.256,2,0.004614543,0.224795141,14.6,0.000316065,817.1084088,17.3003662,446.0108796,2646.879253,12010.45564
56,1310,15,24,57.107,13.706,2,0.003555527,0.193170643,14.6,0.000243529,762.0558803,12.41104759,428.6866365,1702.583243,9254.112359
57,1368,5,33,60.744,20.046,1,0.004665396,0.24272294,14.6,0.000319548,823.5379294,20.08274579,419.2623033,2876.986383,12142.81195
58,1263,0,29,54.088,15.686,0,0.003832167,0.215948157,14.6,0.000262477,756.8913953,15.72427268,463.084867,2079.708827,9974.134038
59,1303,26,25,56.662,14.166,3,0.003655714,0.199680721,14.6,0.000250391,760.2750725,13.3483444,443.1582509,1821.37947,9514.870868
60,997,10,28,35.782,10.019,2,0.002014612,0.143815152,14.6,0.000137987,704.476839,5.19224899,320.725045,542.0998497,5243.510609
61,1507,19,23,69.06,15.884,2,0.004576687,0.216145571,14.6,0.000313472,814.7585672,15.92492522,459.2377363,2513.154983,11911.92471
62,1015,0,25,37.086,9.272,0,0.001890452,0.132558619,14.6,0.000129483,702.0406247,3.696025654,295.2870285,392.8526049,4920.354131
63,999,3,26,35.927,9.341,1,0.001881196,0.134022253,14.6,0.000128849,704.2061486,3.853553038,298.8503865,403.1395873,4896.263161
64,1137,1,24,45.675,10.962,1,0.002477571,0.155086513,14.6,0.000169697,718.0444871,6.939746839,344.4692961,826.2904064,6448.47237
65,1678,6,30,78.516,23.555,1,0.00618051,0.262144481,14.6,0.000423323,912.8682148,23.64102763,382.7737567,4154.195443,16086.25776
66,991,0,24,35.345,8.483,0,0.001697811,0.121933806,14.6,0.000116288,705.2889105,2.174670701,272.0202661,225.6814045,4418.960644
67,1507,1,40,69.06,27.624,1,0.006104767,0.288313025,14.6,0.000418135,910.1450748,27.68141039,351.0451384,4368.47731,15889.12063
68,1460,17,24,66.312,15.915,2,0.004441538,0.216515483,14.6,0.000304215,804.8687675,15.95913054,459.1529211,2440.004913,11560.1684
69,1133,14,24,45.4,10.896,2,0.00245424,0.154168432,14.6,0.000168099,717.0268826,6.810463769,342.4322609,808.0443812,6387.747076
70,1746,43,33,82.038,27.073,4,0.006965943,0.283951455,14.6,0.000477119,942.8731691,27.16560295,351.6692271,4966.977654,18130.53775
71,1455,11,31,66.015,20.465,1,0.005001733,0.244661634,14.6,0.000342584,844.6912385,20.50946328,414.6119472,3124.970389,13018.20821
72,1008,0,25,36.58,9.145,0,0.001854568,0.130945498,14.6,0.000127025,702.9880414,3.454850292,291.8274805,364.6854051,4826.957236
73,1496,31,31,68.423,21.211,3,0.00523298,0.248957861,14.6,0.000358423,859.4020333,21.26089935,407.0291522,3330.748516,13620.08399
74,996,0,24,35.709,8.57,0,0.001721911,0.123043794,14.6,0.000117939,704.6121843,2.338423447,274.4184399,243.8996142,4481.685753
75,1282,18,31,55.316,17.148,2,0.004054476,0.225089404,14.6,0.000277704,775.9737775,17.18469866,448.6105404,2307.058272,10552.7445
76,1219,12,26,51.203,13.313,2,0.003219688,0.187982982,14.6,0.000220527,738.9053787,11.62854313,417.4216092,1484.422852,8380.010974
77,1072,8,26,41.153,10.7,1,0.002284082,0.151644005,14.6,0.000156444,701.5084145,6.463626052,336.825784,725.6039297,5944.870235
78,1171,7,28,47.991,13.437,1,0.003125158,0.18994308,14.6,0.000214052,726.6941251,11.88715291,421.8562928,1457.683918,8133.972874
79,1464,9,32,66.548,21.295,1,0.005136744,0.249721105,14.6,0.000351832,853.9068346,21.34068478,406.4217063,3271.73444,13369.60796
80,1784,24,29,83.948,24.345,2,0.006708428,0.267629688,14.6,0.000459481,931.5462963,24.41423289,374.8963085,4561.068041,17460.29131
81,1081,2,25,41.786,10.446,1,0.002248012,0.148006672,14.6,0.000153973,703.7980246,5.951562554,328.7504127,673.7291132,5850.989709
82,2196,42,26,101.941,26.505,3,0.008709495,0.282272803,14.6,0.000596541,981.4584379,26.59402194,354.4355369,6115.683145,22668.54888
83,982,9,27,34.688,9.366,1,0.001861382,0.134906375,14.6,0.000127492,706.5070177,3.925320322,301.1053775,403.6595283,4844.6935
84,1009,0,25,36.652,9.163,0,0.001859648,0.131174071,14.6,0.000127373,702.8526961,3.488996112,292.3181391,368.6551198,4840.179972
85,1334,11,24,58.624,14.07,1,0.003715147,0.198211353,14.6,0.000254462,768.1615071,13.15160041,439.785328,1837.227987,9669.559789
86,1147,2,26,46.359,12.053,1,0.002747422,0.170478808,14.6,0.00018818,720.5884983,9.118595018,378.6506502,1095.266902,7150.825276
87,1002,0,24,36.145,8.675,0,0.001751131,0.12438249,14.6,0.00011994,703.8001128,2.536382892,277.3049327,266.1406142,4557.737582
88,1932,26,35,90.983,31.844,2,0.008526965,0.31412013,14.6,0.000584039,961.1366751,31.88310244,332.3838957,6450.543593,22193.47139
89,1209,15,27,50.539,13.646,2,0.003273878,0.192727895,14.6,0.000224238,736.3613675,12.30196082,427.9783109,1557.504314,8521.052202
90,1035,0,27,38.524,10.401,0,0.002153106,0.148058506,14.6,0.000147473,699.3337199,5.904080067,329.3413629,639.9134025,5603.97335
91,2804,25,34,119.427,40.605,1,0.014527258,0.368734732,14.6,0.000995018,993.3427647,40.60624466,304.1051933,11923.3819,37810.67263
92,1761,16,25,82.797,20.699,1,0.006071015,0.245363724,14.6,0.000415823,902.6278754,20.74179586,411.2116063,3825.025454,15801.27233
93,1041,0,25,38.953,9.738,0,0.002024977,0.138445128,14.6,0.000138697,698.5216484,4.58420164,307.8138866,499.7387886,5270.487084
94,1004,4,26,36.29,9.435,1,0.001907489,0.135218676,14.6,0.00013065,703.5294224,4.032297066,301.4266265,423.9502059,4964.696918
95,1345,24,28,59.314,16.608,3,0.004183044,0.221349477,14.6,0.00028651,786.147666,16.65481488,453.0327424,2345.798542,10887.37375
96,1011,0,25,36.797,9.199,0,0.001869826,0.131631046,14.6,0.00012807,702.5820057,3.557313435,293.2984692,376.6187227,4866.669311
97,1024,0,25,37.734,9.434,0,0.001936732,0.134610218,14.6,0.000132653,700.8225175,4.004187732,299.6703014,429.3811801,5040.810058
98,991,3,28,35.345,9.897,1,0.001980813,0.142258503,14.6,0.000135672,705.2889105,4.959021465,317.3623215,514.6337459,5155.540904
99,1259,24,31,53.828,16.687,3,0.003932534,0.222308004,14.6,0.000269352,765.8226523,16.72196592,453.4018955,2204.660301,10235.36128
100,1925,32,25,90.664,22.666,3,0.006983981,0.258214552,14.6,0.000478355,938.5818946,22.68771873,391.7507123,4573.515773,18177.48498
101,1106,13,30,43.533,13.06,2,0.002873587,0.184917331,14.6,0.000196821,710.1580525,11.14635955,410.7399267,1290.971911,7479.19902
102,2312,36,29,106.111,30.772,2,0.010016485,0.3083443,14.6,0.000686061,992.7539651,30.82843863,337.6513713,7463.937209,26070.30437
103,1006,0,24,36.435,8.744,0,0.001770517,0.125259486,14.6,0.000121268,703.2587319,2.666549626,279.1909344,280.9158664,4608.19612
104,1247,14,27,53.045,14.322,2,0.003541131,0.202108185,14.6,0.000242543,746.02861,13.66535973,448.7183018,1784.498306,9216.641687
105,1184,11,44,48.867,21.501,1,0.00421835,0.253570807,14.6,0.000288928,797.2282518,21.51628209,407.6943359,2667.764874,10979.26589
106,1892,17,24,89.144,21.395,1,0.006653949,0.250303403,14.6,0.00045575,926.6731693,21.41196467,404.5162232,4242.347778,17318.49839
107,1232,9,24,52.061,12.495,1,0.003053219,0.176382537,14.6,0.000209125,742.2125932,9.972720078,391.6359874,1286.627871,7946.733348
108,1006,0,25,36.435,9.109,0,0.001844424,0.130488181,14.6,0.00012633,703.2587319,3.386584336,290.8451763,356.770136,4800.555633
109,1010,0,25,36.725,9.181,0,0.001864734,0.131402587,14.6,0.000127722,702.7173509,3.523150493,292.8084686,372.6328914,4853.41733
110,1008,0,25,36.58,9.145,0,0.001854568,0.130945498,14.6,0.000127025,702.9880414,3.454850292,291.8274805,364.6854051,4826.957236
111,1118,3,25,44.366,11.092,1,0.002466266,0.157002463,14.6,0.000168922,713.2108659,7.21247169,348.733056,844.412285,6419.047908
112,1354,17,28,59.875,16.765,2,0.004228889,0.222288004,14.6,0.00028965,789.8317662,16.81245836,451.3821509,2383.847691,11006.69769
113,1004,0,26,36.29,9.435,0,0.001907489,0.135218676,14.6,0.00013065,703.5294224,4.032297066,301.4266265,423.9502059,4964.696918
114,1991,41,29,93.608,27.146,3,0.00799457,0.285780257,14.6,0.000547573,965.5677778,27.19926885,350.9731852,5670.96684,20807.78393
115,1357,0,24,60.062,14.415,0,0.003870251,0.202986753,14.6,0.000265086,774.0127328,13.85685475,450.2879325,1969.124294,10073.2565
116,1004,19,24,36.29,8.71,3,0.001760914,0.124828264,14.6,0.000120611,703.5294224,2.602435961,278.264538,273.6165624,4583.201924
117,1026,8,30,37.878,11.363,1,0.002336289,0.162064372,14.6,0.00016002,700.551827,7.816082902,360.7371449,839.7792429,6080.751533
118,1558,49,39,71.97,28.068,5,0.006358648,0.290472965,14.6,0.000435524,919.3400774,28.14024521,348.8596789,4591.176077,16549.90551
119,1329,22,31,58.309,18.076,3,0.004306933,0.230648953,14.6,0.000294995,796.2165442,18.11564248,438.9354524,2521.200242,11209.82455
120,1718,11,28,80.604,22.569,1,0.006190149,0.256440349,14.6,0.000423983,910.3288839,22.63792794,392.5573392,4072.756549,16111.34758
121,1715,42,27,80.449,21.721,4,0.00605508,0.251283601,14.6,0.000414731,903.444242,21.78365449,400.9660952,3912.221924,15759.797
122,1165,9,25,47.584,11.896,1,0.002752975,0.168183997,14.6,0.00018856,725.1677184,8.795174048,373.5369094,1072.99817,7165.2763
123,1013,0,25,36.942,9.236,0,0.001880229,0.1321021,14.6,0.000128783,702.3113152,3.627639365,294.3093487,384.8240176,4893.746997
124,1008,16,24,36.58,8.779,2,0.001780345,0.125704814,14.6,0.000121941,702.9880414,2.732668806,280.147999,288.4537235,4633.773382
125,1000,0,25,36,9,0,0.001813926,0.129100509,14.6,0.000124242,704.0708033,3.180020666,287.8583833,333.0109854,4721.177194
126,1289,4,24,55.766,13.384,1,0.003417734,0.188709476,14.6,0.000234091,756.7134569,11.75892518,418.8535992,1587.263986,8895.471513
127,1010,0,26,36.725,9.548,0,0.001939275,0.136655255,14.6,0.000132827,702.7173509,4.247479705,304.5131531,449.2429849,5047.427151
128,1016,2,25,37.158,9.29,1,0.001895572,0.132786795,14.6,0.000129834,701.9052795,3.73023164,295.7753748,396.879007,4933.679632
129,1018,12,26,37.302,9.699,2,0.001982053,0.138572129,14.6,0.000135757,701.634589,4.535550031,308.619851,483.510999,5158.768207
130,1686,52,37,78.937,29.207,5,0.007025004,0.296549656,14.6,0.000481165,939.1099184,29.30257174,343.4458625,5173.58902,18284.25806
131,1038,15,29,38.738,11.234,2,0.002330804,0.159814727,14.6,0.000159644,698.9276841,7.550445783,355.4097951,820.7267051,6066.476217
132,1208,13,24,50.472,12.113,2,0.00290375,0.171080565,14.6,0.000198887,736.1069664,9.211438258,379.9092332,1165.260427,7557.705367
133,1032,0,25,38.309,9.577,0,0.001978046,0.136415925,14.6,0.000135483,699.7397556,4.27671286,303.5124795,462.1877257,5148.338765
134,1823,6,24,85.864,20.607,1,0.006279263,0.245149172,14.6,0.000430087,911.4520909,20.63351185,412.2783072,3939.02229,16343.28849
135,1182,7,24,48.733,11.696,1,0.002745077,0.165289576,14.6,0.000188019,729.4925374,8.384646212,367.0883212,1037.841032,7144.721237
136,2032,50,34,95.373,32.427,4,0.00907713,0.31793126,14.6,0.000621721,969.710714,32.4618899,330.1441375,6907.58316,23625.40609
137,996,0,25,35.709,8.927,0,0.00179364,0.128169423,14.6,0.000122852,704.6121843,3.041827588,285.8498732,317.2652824,4668.37908
138,1615,21,31,75.132,23.291,2,0.005917237,0.260768302,14.6,0.00040529,900.0144019,23.36921386,385.7252822,3952.25764,15401.0267
139,1005,0,25,36.363,9.091,0,0.001839361,0.130259437,14.6,0.000125984,703.3940771,3.3524642,290.3535307,352.8245762,4787.376766
140,1677,38,31,78.463,24.324,3,0.006286304,0.266790713,14.6,0.000430569,918.9081081,24.41631972,375.1698943,4287.872705,16361.6131
141,1522,36,23,69.924,16.083,4,0.004647177,0.217311619,14.6,0.0003183,819.7397683,16.12340628,457.2136014,2569.804397,12095.39201
142,1752,14,31,82.343,25.526,1,0.006759412,0.27458906,14.6,0.000462973,936.4195975,25.61227679,363.1661554,4699.059092,17592.99099
143,972,8,29,33.955,9.847,1,0.001941608,0.142168596,14.6,0.000132987,707.8604701,4.883529084,317.4688691,497.0827146,5053.500205
144,2260,42,71,104.29,74.046,3,0.017968347,0.565858815,14.6,0.001230709,1003.179095,74.04725746,254.8151596,17524.51611,46766.93119
145,1687,59,31,78.99,24.487,5,0.006348842,0.267847654,14.6,0.000434852,921.3662366,24.57844513,373.5508382,4342.082849,16524.38392
146,1226,20,24,51.665,12.4,3,0.003015641,0.175064298,14.6,0.000206551,740.6861865,9.783052544,388.7214302,1256.011091,7848.929069
147,1409,20,29,63.256,18.344,2,0.004589467,0.231824694,14.6,0.000314347,816.1207557,18.38733278,435.644172,2713.053434,11945.18929
148,1571,19,30,72.699,21.81,2,0.005564215,0.252078681,14.6,0.000381111,879.1538052,21.87246116,400.6299494,3598.342157,14482.20367
149,1016,9,25,37.158,9.29,1,0.001895572,0.132786795,14.6,0.000129834,701.9052795,3.73023164,295.7753748,396.879007,4933.679632
150,1011,0,25,36.797,9.199,0,0.001869826,0.131631046,14.6,0.00012807,702.5820057,3.557313435,293.2984692,376.6187227,4866.669311
151,1008,0,25,36.58,9.145,0,0.001854568,0.130945498,14.6,0.000127025,702.9880414,3.454850292,291.8274805,364.6854051,4826.957236
152,1440,29,33,65.122,21.49,3,0.005080854,0.251120767,14.6,0.000348004,850.9939131,21.53231631,404.6754174,3246.996803,13224.14093
153,1408,13,29,63.195,18.327,1,0.004584241,0.231725154,14.6,0.000313989,815.7581733,18.3703383,435.8159814,2708.622158,11931.58617
154,2320,9,25,106.385,26.596,1,0.00922992,0.283151165,14.6,0.000632186,992.1762941,26.67943661,354.7321441,6481.76464,24023.07985
155,1986,19,29,93.39,27.083,1,0.007963527,0.285387259,14.6,0.000545447,965.1672721,27.13575643,351.2013669,5643.516439,20726.98685
156,1914,31,29,90.161,26.147,2,0.007512904,0.279366478,14.6,0.000514582,956.9749721,26.20591864,356.6499752,5252.546911,19554.13337
157,2264,48,26,104.433,27.153,3,0.009107551,0.286308063,14.6,0.000623805,987.120082,27.24732884,352.1098484,6459.94728,23704.58455
158,1009,3,24,36.652,8.796,1,0.001785165,0.125920236,14.6,0.000122272,702.8526961,2.764754176,280.6101005,292.1300997,4646.319222
159,993,9,28,35.491,9.937,1,0.00199192,0.142768079,14.6,0.000136433,705.01822,5.035412219,318.4633505,523.6159845,5184.450245
160,1550,21,24,71.518,17.164,2,0.004874399,0.223819429,14.6,0.000333863,835.0861803,17.2065782,446.4532397,2792.896416,12686.7923
161,1901,32,24,89.562,21.495,3,0.006703088,0.250958101,14.6,0.000459116,928.5640974,21.51076179,403.5252647,4282.195845,17446.39434
162,1643,37,28,76.65,21.462,3,0.005759176,0.249477379,14.6,0.000394464,890.1702329,21.53316819,403.5620466,3704.879728,14989.6359
163,1535,14,24,70.667,16.96,1,0.004801687,0.222635236,14.6,0.000328883,830.1479456,17.00226135,448.5350091,2733.025511,12497.54267
164,1945,14,25,91.57,22.892,1,0.007096967,0.259693812,14.6,0.000486094,942.4610115,22.91139067,389.4817108,4666.590303,18471.55911
165,2113,37,30,98.715,29.614,3,0.008935752,0.300981629,14.6,0.000612038,975.9639565,29.67056924,341.6056012,6565.291197,23257.43591
166,994,0,25,35.564,8.891,0,0.001783632,0.127710699,14.6,0.000122167,704.8828748,2.973768053,284.8596362,309.5437887,4642.330047
167,1007,0,25,36.508,9.127,0,0.001849493,0.130716868,14.6,0.000126678,703.1233866,3.420713033,291.3364929,360.7237448,4813.749123
168,1803,24,32,84.887,27.164,2,0.007216986,0.28488429,14.6,0.000494314,948.2965827,27.24499574,351.1750409,5144.119975,18783.93492
169,1181,14,24,48.665,11.68,2,0.002739067,0.165067335,14.6,0.000187607,729.2381362,8.353013774,366.5960493,1033.050883,7129.078304
170,2926,30,29,121.634,35.274,2,0.013900976,0.338126632,14.6,0.000952122,1000.300533,35.22441199,322.2813321,10793.1122,36180.62364
171,1260,24,31,53.893,16.707,3,0.003937798,0.222428913,14.6,0.000269712,766.2660281,16.74204568,453.1941386,2209.060885,10249.06227
172,1510,25,27,69.234,18.693,3,0.004951618,0.233388038,14.6,0.000339152,840.0477183,18.73953973,431.6510987,2963.224017,12887.7733
173,1518,15,24,69.694,16.727,2,0.004719575,0.221278668,14.6,0.000323259,824.5062313,16.76917669,450.9091332,2665.705268,12283.82631
174,1270,21,24,54.542,13.09,3,0.003294642,0.184634522,14.6,0.00022566,751.8798356,11.16591919,409.8636669,1485.00125,8575.095672
175,905,22,40,28.969,11.588,4,0.002163729,0.170162027,14.6,0.000148201,716.9286013,8.357157906,380.6946,792.0193741,5631.623041
176,1367,23,23,60.682,13.957,3,0.003774228,0.196502457,14.6,0.000258509,776.2160747,12.91689598,435.9399419,1849.078269,9823.332552
177,1370,26,32,60.868,19.478,3,0.00460359,0.239157746,14.6,0.000315314,818.6401121,19.51674215,424.7940829,2799.990188,11981.94625
178,1357,22,37,60.062,22.223,2,0.004889392,0.256438584,14.6,0.00033489,841.752492,22.25074528,398.0935167,3161.935654,12725.81381
179,2422,49,35,109.703,38.396,3,0.012063697,0.354498715,14.6,0.000826281,998.3152095,38.41755965,307.9027077,9743.893556,31398.66274
180,1037,0,23,38.667,8.893,0,0.001843711,0.12653844,14.6,0.000126282,699.0630294,2.915980748,281.4289075,316.6591391,4798.699779
181,2386,50,32,108.566,34.741,3,0.011144998,0.33244358,14.6,0.000763356,997.8087563,34.7710496,321.7489443,8687.940898,29007.52915
182,1368,1,23,60.744,13.971,1,0.003780711,0.196696098,14.6,0.000258953,776.4359151,12.94533091,436.3732091,1854.504416,9840.205996
183,1004,0,25,36.29,9.072,0,0.001834101,0.130016304,14.6,0.000125623,703.5294224,3.316380402,289.8296084,348.6797058,4773.686321
184,998,0,25,35.855,8.964,0,0.001803872,0.128642262,14.6,0.000123553,704.3414938,3.111892164,286.8707967,325.2248323,4695.010367
185,1473,30,32,67.078,21.465,3,0.005188568,0.250699329,14.6,0.000355381,857.177044,21.51202181,404.6945454,3318.276675,13504.49243
186,1153,34,49,46.769,22.917,5,0.004261004,0.263021369,14.6,0.00029185,805.3503831,22.92717865,394.4296097,2768.2706,11090.28452
187,1591,31,32,73.812,23.62,3,0.005878264,0.262958546,14.6,0.000402621,898.3070435,23.69483649,382.6666414,3947.776102,15299.59087
188,2109,19,27,98.555,26.61,1,0.008378716,0.282754358,14.6,0.000573885,974.7189045,26.68427877,353.623531,5893.328731,21807.61817
189,1242,14,24,52.718,12.652,2,0.003116008,0.178560508,14.6,0.000213425,744.7566044,10.28666121,396.4496552,1337.903071,8110.158754
190,2373,35,26,108.147,28.118,2,0.009753237,0.292522615,14.6,0.00066803,997.2976945,28.17782715,348.8430247,7002.189453,25385.13828
191,1198,27,29,49.806,14.444,3,0.003434656,0.204049153,14.6,0.00023525,733.5629552,13.91056861,453.1405983,1745.140183,8939.515103
192,1128,0,25,45.056,11.264,0,0.002526256,0.159395697,14.6,0.000173031,715.7548771,7.549774282,354.0452622,891.8086598,6575.185968
193,1243,22,26,52.783,13.724,3,0.003382676,0.193685768,14.6,0.00023169,745.0110055,12.45535569,430.0290768,1621.271995,8804.22608
